yyyymmdd,data,ano,year,month,day,time,time_difference,ltm
20090101,14.200000000000001,-2.642549019607843,2009,1,1,76336,1.0,16.842549019607844
20090102,13.700000000000001,-3.1540117416829734,2009,1,2,76337,1.0,16.854011741682974
20090103,15.100000000000001,-1.7669921874999979,2009,1,3,76338,1.0,16.8669921875
20090104,17.0,0.11091617933723086,2009,1,4,76339,1.0,16.88908382066277
20090105,17.2,0.30369649805447096,2009,1,5,76340,1.0,16.89630350194553
20090106,17.5,0.6351456310679602,2009,1,6,76341,1.0,16.86485436893204
20090107,17.2,0.37906976744185883,2009,1,7,76342,1.0,16.82093023255814
20090108,15.200000000000001,-1.5694390715667286,2009,1,8,76343,1.0,16.76943907156673
20090109,12.600000000000001,-4.079150579150575,2009,1,9,76344,1.0,16.679150579150576
20090110,12.0,-4.616377649325628,2009,1,10,76345,1.0,16.616377649325628
20090111,12.5,-4.069038461538462,2009,1,11,76346,1.0,16.56903846153846
20090112,13.8,-2.729750479846448,2009,1,12,76347,1.0,16.52975047984645
20090113,12.700000000000001,-3.8153256704980816,2009,1,13,76348,1.0,16.515325670498083
20090114,12.4,-4.082026768642448,2009,1,14,76349,1.0,16.48202676864245
20090115,13.200000000000001,-3.2845419847328277,2009,1,15,76350,1.0,16.48454198473283
20090116,14.4,-2.1032380952380922,2009,1,16,76351,1.0,16.503238095238093
20090117,16.3,-0.22376425855513205,2009,1,17,76352,1.0,16.523764258555133
20090118,18.8,2.281214421252372,2009,1,18,76353,1.0,16.51878557874763
20090119,19.200000000000003,2.7079696394686934,2009,1,19,76354,1.0,16.49203036053131
20090120,18.1,1.6343453510436419,2009,1,20,76355,1.0,16.46565464895636
20090121,20.0,3.5611005692599633,2009,1,21,76356,1.0,16.438899430740037
20090122,18.7,2.256166982922199,2009,1,22,76357,1.0,16.4438330170778
20090123,17.5,1.0267552182163158,2009,1,23,76358,1.0,16.473244781783684
20090124,11.600000000000001,-4.898671726755218,2009,1,24,76359,1.0,16.49867172675522
20090125,13.3,-3.2294117647058833,2009,1,25,76360,1.0,16.529411764705884
20090126,14.600000000000001,-1.9347248576850085,2009,1,26,76361,1.0,16.53472485768501
20090127,12.200000000000001,-4.350284629981024,2009,1,27,76362,1.0,16.550284629981025
20090128,15.0,-1.5791271347248603,2009,1,28,76363,1.0,16.57912713472486
20090129,16.3,-0.33301707779885703,2009,1,29,76364,1.0,16.633017077798858
20090130,16.0,-0.6962049335863334,2009,1,30,76365,1.0,16.696204933586333
20090131,16.7,-0.0425047438330175,2009,1,31,76366,1.0,16.742504743833017
20090201,17.5,0.7436432637571144,2009,2,1,76367,1.0,16.756356736242886
20090202,18.6,1.836812144212523,2009,2,2,76368,1.0,16.76318785578748
20090203,19.6,2.8349146110056935,2009,2,3,76369,1.0,16.765085388994308
20090204,18.2,1.4685009487666036,2009,2,4,76370,1.0,16.731499051233396
20090205,19.1,2.3946869070208727,2009,2,5,76371,1.0,16.70531309297913
20090206,19.200000000000003,2.501897533206833,2009,2,6,76372,1.0,16.69810246679317
20090207,19.1,2.3658444022770375,2009,2,7,76373,1.0,16.734155597722964
20090208,20.400000000000002,3.6013282732447855,2009,2,8,76374,1.0,16.798671726755217
20090209,20.3,3.428083491461102,2009,2,9,76375,1.0,16.8719165085389
20090210,19.400000000000002,2.441745730550288,2009,2,10,76376,1.0,16.958254269449714
20090211,20.200000000000003,3.149146110056929,2009,2,11,76377,1.0,17.050853889943074
20090212,21.5,4.355028462998099,2009,2,12,76378,1.0,17.1449715370019
20090213,23.8,6.575521821631877,2009,2,13,76379,1.0,17.224478178368123
20090214,24.0,6.671537001897537,2009,2,14,76380,1.0,17.328462998102463
20090215,22.400000000000002,4.978368121442127,2009,2,15,76381,1.0,17.421631878557875
20090216,19.700000000000003,2.191840607210626,2009,2,16,76382,1.0,17.508159392789377
20090217,18.400000000000002,0.8066413662239107,2009,2,17,76383,1.0,17.59335863377609
20090218,19.5,1.7977229601517983,2009,2,18,76384,1.0,17.7022770398482
20090219,19.400000000000002,1.612903225806452,2009,2,19,76385,1.0,17.78709677419355
20090220,21.400000000000002,3.5535104364326386,2009,2,20,76386,1.0,17.846489563567363
20090221,18.8,0.9286527514231508,2009,2,21,76387,1.0,17.87134724857685
20090222,20.5,2.6102466793168837,2009,2,22,76388,1.0,17.889753320683116
20090223,22.700000000000003,4.784819734345355,2009,2,23,76389,1.0,17.915180265654648
20090224,23.3,5.353510436432639,2009,2,24,76390,1.0,17.94648956356736
20090225,23.700000000000003,5.694307400379511,2009,2,25,76391,1.0,18.00569259962049
20090226,21.6,3.5077798861480076,2009,2,26,76392,1.0,18.092220113851994
20090227,21.6,3.4339658444022767,2009,2,27,76393,1.0,18.166034155597725
20090228,20.400000000000002,2.147628083491462,2009,2,28,76394,1.0,18.25237191650854
20090301,19.1,0.756925996204938,2009,3,1,76395,1.0,18.343074003795063
20090302,18.8,0.3565464895635664,2009,3,2,76396,1.0,18.443453510436434
20090303,18.8,0.21935483870967687,2009,3,3,76397,1.0,18.580645161290324
20090304,18.400000000000002,-0.3332068311195435,2009,3,4,76398,1.0,18.733206831119546
20090305,19.400000000000002,0.5212523719165105,2009,3,5,76399,1.0,18.87874762808349
20090306,16.900000000000002,-2.1022770398481967,2009,3,6,76400,1.0,19.0022770398482
20090307,14.600000000000001,-4.542125237191648,2009,3,7,76401,1.0,19.14212523719165
20090308,15.8,-3.4518026565464908,2009,3,8,76402,1.0,19.25180265654649
20090309,17.2,-2.1275142314990525,2009,3,9,76403,1.0,19.327514231499052
20090310,18.0,-1.3850094876660357,2009,3,10,76404,1.0,19.385009487666036
20090311,19.0,-0.4597722960151778,2009,3,11,76405,1.0,19.459772296015178
20090312,19.700000000000003,0.14686907020873008,2009,3,12,76406,1.0,19.553130929791273
20090313,20.1,0.47495256166982713,2009,3,13,76407,1.0,19.625047438330174
20090314,16.2,-3.512713472485771,2009,3,14,76408,1.0,19.71271347248577
20090315,18.2,-1.6085388994307444,2009,3,15,76409,1.0,19.808538899430744
20090316,20.400000000000002,0.5094876660341576,2009,3,16,76410,1.0,19.890512333965845
