yyyymmdd,temperature,year,month,day,ltm,anomaly
20090101,14.200000000000001,2009,1,1,15.962500000000002,-1.762500000000001
20090102,13.700000000000001,2009,1,2,16.606250000000003,-2.9062500000000018
20090103,15.100000000000001,2009,1,3,17.329411764705885,-2.2294117647058833
20090104,17.0,2009,1,4,17.48823529411765,-0.48823529411765065
20090105,17.2,2009,1,5,17.711764705882352,-0.5117647058823529
20090106,17.5,2009,1,6,17.147058823529417,0.35294117647058343
20090107,17.2,2009,1,7,16.629411764705885,0.5705882352941138
20090108,15.200000000000001,2009,1,8,16.44117647058824,-1.241176470588238
20090109,12.600000000000001,2009,1,9,15.717647058823532,-3.1176470588235308
20090110,12.0,2009,1,10,16.33529411764706,-4.335294117647059
20090111,12.5,2009,1,11,16.38823529411765,-3.8882352941176492
20090112,13.8,2009,1,12,16.047058823529415,-2.2470588235294144
20090113,12.700000000000001,2009,1,13,15.6,-2.8999999999999986
20090114,12.4,2009,1,14,15.882352941176471,-3.4823529411764707
20090115,13.200000000000001,2009,1,15,16.18235294117647,-2.9823529411764707
20090116,14.4,2009,1,16,16.73529411764706,-2.335294117647061
20090117,16.3,2009,1,17,16.67058823529412,-0.3705882352941181
20090118,18.8,2009,1,18,16.729411764705883,2.0705882352941174
20090119,19.200000000000003,2009,1,19,17.317647058823532,1.882352941176471
20090120,18.1,2009,1,20,17.794117647058826,0.3058823529411754
20090121,20.0,2009,1,21,17.523529411764706,2.476470588235294
20090122,18.7,2009,1,22,16.870588235294118,1.8294117647058812
20090123,17.5,2009,1,23,16.147058823529413,1.352941176470587
20090124,11.600000000000001,2009,1,24,15.38823529411765,-3.788235294117648
20090125,13.3,2009,1,25,15.964705882352943,-2.6647058823529424
20090126,14.600000000000001,2009,1,26,16.147058823529413,-1.5470588235294116
20090127,12.200000000000001,2009,1,27,15.741176470588236,-3.541176470588235
20090128,15.0,2009,1,28,16.376470588235296,-1.3764705882352963
20090129,16.3,2009,1,29,16.011764705882356,0.28823529411764426
20090130,16.0,2009,1,30,16.329411764705885,-0.32941176470588474
20090131,16.7,2009,1,31,16.358823529411765,0.3411764705882341
20090201,17.5,2009,2,1,16.629411764705882,0.8705882352941181
20090202,18.6,2009,2,2,16.447058823529414,2.1529411764705877
20090203,19.6,2009,2,3,16.5,3.1000000000000014
20090204,18.2,2009,2,4,16.670588235294115,1.529411764705884
20090205,19.1,2009,2,5,16.88235294117647,2.2176470588235304
20090206,19.200000000000003,2009,2,6,17.3,1.9000000000000021
20090207,19.1,2009,2,7,17.541176470588233,1.558823529411768
20090208,20.400000000000002,2009,2,8,17.229411764705883,3.170588235294119
20090209,20.3,2009,2,9,16.67058823529412,3.629411764705882
20090210,19.400000000000002,2009,2,10,16.5,2.900000000000002
20090211,20.200000000000003,2009,2,11,16.870588235294118,3.3294117647058847
20090212,21.5,2009,2,12,16.941176470588236,4.5588235294117645
20090213,23.8,2009,2,13,17.27058823529412,6.5294117647058805
20090214,24.0,2009,2,14,17.841176470588238,6.158823529411762
20090215,22.400000000000002,2009,2,15,17.617647058823533,4.78235294117647
20090216,19.700000000000003,2009,2,16,17.16470588235294,2.5352941176470623
20090217,18.400000000000002,2009,2,17,16.882352941176475,1.5176470588235276
20090218,19.5,2009,2,18,16.788235294117644,2.7117647058823557
20090219,19.400000000000002,2009,2,19,16.276470588235295,3.123529411764707
20090220,21.400000000000002,2009,2,20,16.982352941176472,4.41764705882353
20090221,18.8,2009,2,21,17.300000000000004,1.4999999999999964
20090222,20.5,2009,2,22,17.988235294117644,2.5117647058823565
20090223,22.700000000000003,2009,2,23,18.147058823529413,4.55294117647059
20090224,23.3,2009,2,24,17.658823529411766,5.641176470588235
20090225,23.700000000000003,2009,2,25,18.64117647058824,5.0588235294117645
20090226,21.6,2009,2,26,19.01764705882353,2.5823529411764703
20090227,21.6,2009,2,27,18.658823529411766,2.9411764705882355
20090228,20.400000000000002,2009,2,28,18.841176470588238,1.5588235294117645
20090301,19.1,2009,3,1,19.323529411764707,-0.2235294117647051
20090302,18.8,2009,3,2,19.417647058823526,-0.6176470588235254
20090303,18.8,2009,3,3,19.01764705882353,-0.21764705882353041
20090304,18.400000000000002,2009,3,4,19.32941176470589,-0.9294117647058862
20090305,19.400000000000002,2009,3,5,19.88823529411765,-0.4882352941176471
20090306,16.900000000000002,2009,3,6,19.370588235294118,-2.470588235294116
20090307,14.600000000000001,2009,3,7,18.30588235294118,-3.7058823529411775
20090308,15.8,2009,3,8,17.629411764705885,-1.8294117647058847
20090309,17.2,2009,3,9,17.941176470588236,-0.7411764705882362
20090310,18.0,2009,3,10,17.799999999999997,0.20000000000000284
20090311,19.0,2009,3,11,17.829411764705885,1.1705882352941153
20090312,19.700000000000003,2009,3,12,18.63529411764706,1.0647058823529427
20090313,20.1,2009,3,13,19.5764705882353,0.5235294117647022
20090314,16.2,2009,3,14,19.2764705882353,-3.076470588235299
20090315,18.2,2009,3,15,19.500000000000004,-1.3000000000000043
20090316,20.400000000000002,2009,3,16,20.17058823529412,0.22941176470588331
20090317,21.8,2009,3,17,20.458823529411767,1.341176470588234
20090318,22.400000000000002,2009,3,18,21.341176470588238,1.0588235294117645
20090319,22.900000000000002,2009,3,19,21.88823529411765,1.011764705882353
20090320,23.900000000000002,2009,3,20,21.46470588235294,2.435294117647061
20090321,22.6,2009,3,21,20.8,1.8000000000000007
20090322,25.700000000000003,2009,3,22,20.823529411764707,4.876470588235296
20090323,23.900000000000002,2009,3,23,20.582352941176474,3.3176470588235283
20090324,20.400000000000002,2009,3,24,19.882352941176475,0.5176470588235276
20090325,18.5,2009,3,25,19.829411764705885,-1.3294117647058847
20090326,18.5,2009,3,26,20.029411764705884,-1.529411764705884
20090327,19.5,2009,3,27,20.688235294117646,-1.1882352941176464
20090328,20.900000000000002,2009,3,28,20.91764705882353,-0.017647058823527573
20090329,19.700000000000003,2009,3,29,21.329411764705885,-1.629411764705882
20090330,19.400000000000002,2009,3,30,21.81764705882353,-2.417647058823526
20090331,19.700000000000003,2009,3,31,21.741176470588236,-2.0411764705882334
20090401,19.900000000000002,2009,4,1,21.45882352941177,-1.558823529411768
20090402,18.400000000000002,2009,4,2,21.329411764705885,-2.9294117647058826
20090403,18.8,2009,4,3,21.376470588235296,-2.5764705882352956
20090404,21.5,2009,4,4,21.50588235294118,-0.005882352941178226
20090405,23.5,2009,4,5,22.082352941176474,1.4176470588235262
20090406,19.1,2009,4,6,21.841176470588238,-2.741176470588236
20090407,18.2,2009,4,7,21.44117647058824,-3.2411764705882398
20090408,20.8,2009,4,8,21.87058823529412,-1.070588235294121
20090409,20.900000000000002,2009,4,9,22.441176470588236,-1.5411764705882334
20090410,20.900000000000002,2009,4,10,22.75294117647059,-1.852941176470587
20090411,21.5,2009,4,11,23.10588235294118,-1.6058823529411796
20090412,21.900000000000002,2009,4,12,22.78235294117647,-0.8823529411764675
